instance,target_reached,num_crash,avg_computing_time
4,8,0,20.056516647338867
9,18,0,20.847501675287884
14,33,0,0.12159434954325359
19,38,0,20.849420070648193
24,48,0,27.412724018096924
29,0,0,59.99400782585144
34,0,0,60.02809190750122
